"HR","HPB_PARCELS","SCFL_PARCELS","MPC_PARCELS","MPCL_PARCELS","LC_PARCELS","BAGGING_PARCELS","PARCELS"
0,19,0,77,117,75,17,308
1,43,0,56,67,82,462,752
2,25,2,36,45,41,89,301
3,8,4,1,7,13,71,113
4,59,78,86,134,141,659,1248
5,70,147,7,18,34,494,838
6,61,89,8,26,33,307,551
7,106,263,19,35,33,455,949
8,46,267,37,38,46,375,860
9,78,184,14,15,6,234,563
10,68,9,44,63,51,391,651
11,89,27,73,96,68,516,970
12,68,46,71,88,77,674,1128
13,86,100,45,70,116,574,1096
14,170,356,54,54,79,767,1737
15,471,546,89,118,104,1396,3319
16,317,320,110,201,254,997,2586
17,154,131,47,52,83,560,1112
18,234,304,112,122,89,891,1895
19,357,363,158,151,134,823,2205
20,280,236,132,141,148,792,1940
21,361,361,30,79,59,594,1573
22,55,26,63,65,43,250,554
23,56,0,89,105,81,449,867
