"PACKING_OUT_TIME","HANDLING_TYPE","AREA_PACKED","CONTAINER_CLASS","PACK_STATION","AREA","PACK_USER","PROD_CODE","QTY_SINGLES","SHIPPING_LPN","ORDER_NO","LENGTH","WIDTH","HEIGHT","WEIGHT","CONVEYABLE_IND","COLLATABILITY_IND","MANUAL_BAG_TYPE"
"2018-11-25 19:45:15","ConveyableCarton","Pack Bench","Pack Bench","D2C pack station 59",1,"797823","10037603",1,"3051602779","00000000000057401919",270,150,45,216,,,
"2018-11-25 19:23:06","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 2-4",2,"797722","10036304",1,"3051597477","00000000000057330848",360,270,15,247,,,
"2018-11-25 19:18:56","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 2-4",2,"797722","10042005",1,"3051597142","00000000000057364540",400,230,80,887,,,
"2018-11-25 19:48:09","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 2-7",2,"797544","10300104",1,"3051598277","00000000000057320689",378,284,60,240,"Y","N",
"2018-11-25 19:52:45","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 2-7",2,"797544","10096508",1,"3051598847","00000000000057400330",330,210,40,384,,,
"2018-11-25 19:43:27","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 3",1,"797128","10096509",1,"3051597997","00000000000057345699",330,210,40,384,,,
"2018-11-25 19:09:51","PlasticProtectionBag","Hanging Pack Bench","Hanging Pack Bench","HG packing station 1-08",2,"798553","10301402",1,"3051598670","00000000000057400436",378,284,40,400,,,
"2018-11-25 19:14:38","MediumPickingCartonLarge","Medium Carton Line","MediumPickingCartonLarge","D2C ACL M11",2,"ACL M","10316201",1,"3051597331","00000000000057410905",378,284,40,630,"Y","N",
"2018-11-25 19:28:32","PlasticProtectionBag","Hanging Pack Bench","Hanging Pack Bench","HG packing station 1-09",2,"798253","10318302",1,"3051600747","00000000000057408201",475,332,70,820,"Y","N",
"2018-11-25 19:21:59","MediumPickingCartonLarge","Medium Carton Line","MediumPickingCartonLarge","D2C ACL M11",2,"ACL M","11072027",3,"3051598916","00000000000057417228",260,70,70,540,,,
"2018-11-25 19:56:43","PlasticProtectionBag","Hanging Pack Bench","Hanging Pack Bench","HG packing station 2-02",2,"797857","11301043",1,"3051604369","00000000000057420012",475,332,100,1250,,,
"2018-11-25 19:27:34","MediumPickingCartonLarge","Medium Carton Line","MediumPickingCartonLarge","D2C ACL M1",1,"ACL M","11250646",1,"3051598389","00000000000057417373",310,155,100,498,,,
"2018-11-25 19:41:57","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 1",1,"798235","11272006",1,"3051593973","00000000000057400865",260,170,55,478,,,
"2018-11-25 19:46:08","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L11",2,"ACL L","11214850",1,"3051601893","00000000000057411532",300,250,40,394,"Y","N",
"2018-11-25 19:46:45","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 2-9",2,"797096","11240236",1,"3051596606","00000000000057382235",420,280,50,414,,,
"2018-11-25 19:45:33","PlasticProtectionBag","Hanging Pack Bench","Hanging Pack Bench","HG packing station 2-05",2,"798121","11301083",1,"3051602944","00000000000057415231",475,332,110,880,,,
"2018-11-25 19:23:35","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L1",1,"ACL L","11302110",1,"3051598971","00000000000057419043",0,0,0,500,"Y","N",
"2018-11-25 19:41:23","PlasticProtectionBag","Pack Bench","Pack Bench","D2C pack station 04",1,"797640","11302108",1,"3051602432","00000000000057415891",0,0,0,500,"Y","N",
"2018-11-25 19:14:34","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L11",2,"ACL L","11301448",1,"3051597506","00000000000057288662",475,332,90,950,"Y","N",
"2018-11-25 19:56:47","PlasticProtectionBag","Hanging Pack Bench","Hanging Pack Bench","HG packing station 1-07",2,"798256","11300794",1,"3051604409","00000000000057418345",475,332,140,1460,,,
"2018-11-25 19:51:06","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L1",1,"ACL L","11378713",1,"3051602294","00000000000057413008",270,280,50,660,,,
"2018-11-25 19:41:06","MediumPickingCarton","Medium Carton Line","MediumPickingCarton","D2C ACL M11",2,"ACL M","11313104",1,"3051601528","00000000000057419225",310,260,30,234,"Y","N",
"2018-11-25 19:39:04","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L1",1,"ACL L","11403628",1,"3051600083","00000000000057290783",340,250,70,710,"Y","N",
"2018-11-25 19:45:55","MediumPickingCartonLarge","Medium Carton Line","MediumPickingCartonLarge","D2C ACL M11",2,"ACL M","11312554",1,"3051602157","00000000000057392680",280,260,20,195,,,
"2018-11-25 19:51:06","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L1",1,"ACL L","11333354",1,"3051602294","00000000000057413008",300,280,20,266,"Y","N",
"2018-11-25 19:48:14","PlasticProtectionBag","Hanging Pack Bench","Hanging Pack Bench","HG packing station 1-09",2,"798253","11301016",1,"3051603390","00000000000057414379",475,332,130,1230,,,
"2018-11-25 19:32:57","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L1",1,"ACL L","11352001",1,"3051601062","00000000000057397704",340,270,30,694,"Y","N",
"2018-11-25 19:32:44","MediumPickingCartonLarge","Medium Carton Line","MediumPickingCartonLarge","D2C ACL M11",2,"ACL M","11455604",1,"3051600362","00000000000057398910",290,160,90,505,,,
"2018-11-25 19:49:45","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 2-2",2,"797766","11367316",1,"3051601054","00000000000057402017",330,250,60,550,"Y","N",
"2018-11-25 19:52:19","PlasticProtectionBag","Bagging Line","Bagging Line","D2C BAG station 6",1,"798233","11416833",1,"3051598907","00000000000057333932",310,240,30,233,,,
"2018-11-25 19:55:30","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L11",2,"ACL L","11405238",1,"3051602326","00000000000057404749",475,332,140,1240,"Y","N",
"2018-11-25 19:39:58","LargePickingCarton","Large Carton Line","Large Carton Line","D2C ACL L11",2,"ACL L","11470883",1,"3051599741","00000000000057289309",300,260,40,579,"Y","N",
"2018-11-25 19:36:27","MediumPickingCartonLarge","Medium Carton Line","MediumPickingCartonLarge","D2C ACL M2",1,"ACL M","11413222",1,"3051599443","00000000000057399951",290,280,34,239,,,
